ulasan,sentimen
saya sebagai user baru XL merasa sangat senang karena harga paket yang terjangkau dan konten paket setara dengan harganya..... terima kasih sudah memberikan yang terhebat untuk pelanggan khususnya pelanggan baru,1
"sangat puas dengan aplikasi ini, bisa cek kuota jadi lebih cepat dan pilihan paketnya sangat menarik dan tidak menguras kantong, semoga semakin lancar dan sukses my XL",1
"Gw suka nih yang kayak gini, kasih ulasan langsung dibales. Sesuai janji, gw kasih 5 star karena beneran dikasih diskon njirrr ðŸ˜ˆ. Kasih diskon lagi dong, kayak 50k dapet 100GBðŸ˜¹, wkwk canda sih, tapi kalau dikasih beneran GG banget sih kalian. XL bakal jadi kartu utama gw terus sih, lanjutin pelayanan kayak gini broo mantap bgt soalnyaðŸ˜„ðŸ‘",1
"Terimakasih myXL , telah menemani hari hari saya, dulu awalnya memang agak mengecewakan, baik dari segi pemakaian dan jaringan telepon maupun internet, sekarang Alhamdulillah, XL semakin meningkatkan kualitas pelayanan dan jaringan yang stabil, bahkan di pelosok, saya makin cinta dengan XL, pertahankan dan terus tingkatkan..",1
"XL semakin ok, pulsa saya sudah tidak hilang lagi, aman dan nyaman. juga banyak bonus dan diskon, terbantu karna harganya murah meriah, keren. kalau boleh usul disediakan juga paket untuk perpanjang masa aktif.",1
Alhamdulillah sejak memakai XL Prioritas komunikasi lancar kalaupun ada kendala semisal sedang bicara tiba2 GK konex biasa itu masalah jaringan cuaca buruk. Tapi bisa teratasi cuma berpindah posisi aja,1
"aplikasi my XL memudah kan kita untuk mengisi saldo dan paket data berbagai fitur promo lengkap ,saya suka aplikasi ini, tolong lebih di tingkat kan kembali,terima kasih",1
"Sangat membantu dengan pakai my xl banyak penawaran paketÂ² dan banyak diskon ny sampe 70% yang gk ada kalo langsung beli reguler, dan lebih bagus ny lagi sekali beli jadi langganan ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼",1
"banyak pilihan pilhan paket menarik, tampilan aplikasi cukup bagus dan mudah dipahami, overall sudah cukup baik tinggal dikembnagkan lebih baik dan menarik",1
"XL memang tidak ada dua nya.. berbagai extra & bonus kuota, terutama kalau pergi ke luar kota dapat kota area 3ï¸âƒ£ & 4ï¸âƒ£ gratis.. Terimakasih XL.. semakin Maju-jayA",1
"XL hebat, signal bagus, jarang error, dan kelebihannya dari yang lain adalah sisa quota tidak pernah hangus dan ditambahkan ke paket baru.",1
"Semua jadi serba mudah, harga paket data yg murah serta dapat bonus dengan banyak pilihan dan selalu banyak promo yg di tawarkan",1
Alhamdulillah respon sudah dijawab dan menyelesaikan masalh masalah yang terjadi saat ingin melakukan pembelian terimakasih.. saran jaringan lebih ditingkatkan lagi dan semoga kedepannya XL semakin baik dan maju amiiinnn â˜ºï¸ðŸ‘,1
"mudah dan cepat, paketnya tidak sesuai. Paket L+ no kuota area no pulsa sesama XL atau non XL ( tolong di perbaiki ya XL, jangan buat kecewa pelanggan)",1
apk nya sangat cocok gampang lihat pulsa nya bisa dpt bonus sama gratis lain nya pokok nya nih apk nya sangat bagus pokok nya gampang deh nih apk yuk buruan di download dan dpt kan kuota gratis lain nya,1
"Sumpah, XL ini bagus banget, agent nya bisa bantu semua masalah yang kita alami, mau gimanapun masalahnya pasti tetep dibantu sampe berhasil ðŸ¥º",1
Baca dulu yuk baru tau ang ang ang Bagus banget aplikasi nya hari pertama saya downlot my XL saya medapatkan bonus yang sangat banyak tapi sekarang udah gk banya lagi tapi saya tetap senang dengan aplikasi myXL terimakasih myXL ðŸ‘ðŸ‘ &k kaya aplikasi tetangga sebelah Siapa yang setuju aplikasi myXL dapat Bintangâ­â­â­â­â­ Yng setuju bilang ya ðŸ‘,1
"Pokoknya dah nyaman pake XL. Tolong dong adain perpanjang masa aktif kuota ntah dengan tukar poin atau bayar dan Jangan sampai di hilangkan ya akumulasi sisa kuotanya, awas aja heheh makasih ðŸ™ðŸ»",1
"Sangat bagus dan banyak bonus , Saat perbarui tolong tambah fitur perpanjang masa aktif paket utama .",1
"bagus, ringan, gak ngelag sama sekali. ui nya bagus saya suka. untuk pelayanan sangat baik dan gercep. sinyalnya lebih bagus dari provider sebelahðŸ‘½ thanks",1
"menu mudah di pahami, dan lebih saat buka aplikasi pun lebih ringan dan rensponsif...initinya lebih baik ini daripada mytelkomnyet",1
"aplikasi yang sangat berguna, terimakasih XL paket internet bnyk diskonnya dan jaringan lancar pkok nya terbaik dari yang lain",1
"Terimakasih XL selalu memuaskan, internet selalu lancar, telpon gratis, selalu dapat promo, semoga promonya di adakan terus ya",1
Terimakasi selalu cepat tanggap kalo ada kendala .. paket data yg banyak dan murah meriah .. chat dengan maya paling cepat memberi solusi,1
"makasih selalu dapat harga promo, kalo bisa harga paket data minimum 30.000 sudah bisa buat sebulan",1
"Aplikasi paling bermanfaat untuk layanan komunikasi antar keluarga, sahabat seluruh Indonesia, jangkauan luas, cepat dan mudah digunakan.",1
Terima kasih karena sudah menambahkan pulsalater kadang pas beli pulsa kadang kurang 100 ataupun 200 pulsa tapi karna ada pulsa later saya bisa membeli paketan saya sangat terbantu terima kasih telah menyediakan pulsalaterðŸ˜…ðŸ‘,1
"Aplikasinya sangat baik sekali dan bonusnya Sangat memuaskan sekali ,dan kalo bisa harga kuotanya di turunkan lagi ya kk ðŸ™ðŸ¼ðŸ˜",1
mudah.... jelas.. aman.. semakin asyik transaksi beli paket di my XL.. teruskan pelayanan kalian agar semakin mudah dan nyaman.. terima kasih XL,1
makasih banget! sekarang apk nya sudah makin berkembang dan harga dari paket data lumayan merata(sudah tidak pilih kasih) makasih xl,1
Mudah bertransaksi dan banyak bonusnya... semoga card SIM saya selalu mendapat bonus.. pelanggan setia XL.. biarpun sering ganti SIM card,1
senang sekali setiap isi kuota banyak gratisan nya suka deh pokoknya jangan lupa kalo punya kartu XL download aplikasi nya ini ya,1
di myXL banyak banget bonusnya dan juga di jaringan XL ni banyak ditemui di daerah mana saja intinya kartu XL tidak mengecewakan pengguna my XL sudah banyak diskon TERIMA KASIH myXL sudah menemani 5 Tahun,1
Paket datanya murah meriah cocok di kantong dan sinyalnya enk tergantung tempat ya..,1
"Prioritas memang vip, signal nya lancar sekali dan super cepat, jarang ada hambatan..sukses selalu!!",1
"myXL is the best.! banyak sekali promonya serta bonus tiap isi ulang,.. semoga myXL semakin maju dan berkembang serta banyak disukai para pelanggan.. Terimakasih myXLðŸ™",1
Sy semakin bersemangat utk menggunakan kartu XL karna selain jaringannya bagus promo2 yg ditawarkan semakin menarik sehingg membuat mayoritas pengguna XL ditempat kami hampir 100% memilih menggunakan XL,1
"saya sangat puas memakai xl, dengan fitur fitur di myXL yang sangat menarik.saya juga senang dengan ada nya fitur XL point.",1
Thanks myxl slalu memberikan yang terbaik buat para penggunanya semoga kedepannya lebih banyak lagi yang menggunakan aplikasi my XL dan memberikan penilaian yang sesuai dengan aplikasi ini ðŸ‘ðŸ‘ðŸ‘,1
"Bagus bangettttt, apa lagi kalo kita ngumpulin koin, bisa dapat kuota gratis, walaupun hanya 1GB tapi setidaknya bermanfaat, seneng deh",1
"XL prioritas mantap,sinyal stabil buat internetan sangat nyaman.....cocok buat yg suka berselancar di dunia Maya.",1
"My XL sangat bagus dan banyak sekali keuntungan didalamnya ,dapat bonus dan pilihan kuotanya jg banyak hemat lgi best jaringan no 1 di Indonesia",1
Xl sangat m3mbantuu dalam persoalan jaringan disamping itu jga Promo di XL sangtlah menarik..paketnya hemat.murah meriah lagii Pokoknya komplit...ayoo download XL sekarang ...s3lqgii masih bnyak promo menarikkðŸ™ðŸ»ðŸ™ðŸ»ðŸ™ðŸ»,1
Aplikasinya sangat membantu dan mudah digunakan. Fitur-fiturnya lengkap dan sesuai kebutuhan. Highly recommended!,1
XL emang terbaik dikota saya jaringan bagus ga lemot paket kuota y juga terbilang murah. Terima kasih XL sukses terus,1
Aplikasinya sangat membantu apalagi kalau ada paketan promo lumayan lah 185gb cuman 35rbðŸ¤© udah gitu 2 kali dapetnya mantep lah,1
Aku senang sekali aplikasi ini bisa kita dapat beli kuota dng harga murah selain itu kita jg dapet poin untuk beli kuota lagi the best pokoknya aplikasi ini.,1
menurut saya xl dari dulu sampe sekarang gk ada yg ketinggalan.. org tua maupun muda selalu nyaman pke XL joss bgtt,1
"xl..sekarang jaringannya makin bagus,harus lebih murah,biar mudah bersaing.harga harus ramah dikantong.",1
"pelayanan online yang memuaskan dan dapat menyelesaikan masalah kendala jaringan internet dengan baik, cepat.. terbaik memang XL",1
"Aplikasinya bagus banget, bisa dipakek tanpa punya paket (asalkan data hidup). Banyak banget bonusnya, beli pulsa dapet bonus, beli paket dapet bonus, beli voucher dapet bonus. Bonus paket emang the best ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ Jujur nyesel banget aku baru download tahun 2024, kenapa ga dari tahun-tahun sebelumnya gitu, hehehe. Terimakasih myXL â¤ï¸â¤ï¸",1
"XL sangat bagus pelayanan sangat bagus dan banyak bonus nya, Saya sudah lebih dari dua puluh tahun menggunakan XL,untuk kedepannya semoga akan ada lebih banyak bonus dari myxl",1
"saya sangat terbantu sekali ,dg myXL karena harga paket sangat menjangkau, terutama kami rakyat kecil,yg msh berada pelosok desa terpencil,mksh XL, semoga terus eksis...ðŸ™ðŸ™",1
"Allhamdulilah jdi bisa top up game dengan mudah cuma pake pulsa +ada diskon nya lagi, jumlah dm nya jg sama harganya jdi gk perlu top up sana sini ke alfamard/toko terdekat, makasih bngt min....",1
Super mantap skrg jaringan baik dikampung maupun di kota sudah baguuuus lancar jaya.. kuota internet juga banyak diskon pertahankan terus pelayanan terbaik nya..,1
sangat membantu untuk membeli paket dan banyak bonusnya tingkatkan lagi supaya tidak gampang suruh update.,1
"rekomendasi untuk free, karna saat kehabisan kuota bisa langsung beli paket",1
mudah pembayaran nya banyak diskon nya harga mudah di jangkau jaringan lancar,1
XL mudah di jangkau di desa aataaupun di kota. jaringan stabil teruspuas pakai XL.,1
Sangat baguss dan membuat pembayaran atau pembelian pulsa sangat mudah,1
Terimakasih XL sudah menanggapi dan memperbaiki masalah di dalam di aplikasinyaðŸ™ðŸ»,1
"sangat baik, mempermudah dalam pengecekan pulsa, paket data, dan lainnya",1
"semakin mantap saja ini pilihan internetnya sesuai kebutuhan, bukan sesuai paksaan",1
fitur yg mudah dan nyaman bgi user .. selama make myXL overall bagus .. ðŸ‘,1
"sangat memuaskan dengan paket internet yg murah dan jumlah kuota internet yg besar, tetap lebih baik lagiðŸ’¯",1
"sangat memudahkan dalam transaksi pembelian paket internet, terus tingkatkan, terima kasih",1
aplikasi ny bagus bnget gratisan ny bnyk promo data ny bnyk jg top deh pokoknya,1
banyak promo menarik. lebih menarik lagi kalo promo nya besar besaran!,1
"terima kasih my XL , semua dipermudah untuk layanan pelanggan setia XL. Murah sesuai kebutuhan",1
"Mantap respon penangananya cepat, yang lama menunggu live chat customer service nya yang agak lama tapi ok lah",1
"Seneng banget mudah di akses banyak promo masih dpet poin, poinnya jiga banyak pilihan pokoknya top dah",1
"Aplikasinya sangat baik sekali pelayanan juga baik, untuk paket semoga selalu bisa lebih murah dari pada kartu yang lain",1
Aplikasinya cukup bermanfaat dan banyak Fitur-fitur yang menarik serta ada pilihan pembelian paket pulsa dan data yang Variatif,1
"Aktifasi cepat mudah, pembayaran lebih mudah pemakain data cepat habis",1
"mempermudah semua transaksi pulsa kuota, banyak promo jg, makasih yah",1
"bagus, semoga kedepan nya harga paket nya lebih mrah dan terjangkau",1
"Bagus sekali, tanpa perlu cek, buka apk sudah langsung liat daftar datanya",1
Bagus banget dan murah-murah gratisannya juga banyak pokoknya mantap (tolong isiin pulsa dong),1
"saya sangat men-support XL untuk meningkatkan layanan signal yang kuat dan stabil, Terima Kasih !!!",1
Sangat baru dan tidak kesusahan lagi cek kuota nya dan app nya sangat mudah,1
semoga sukses terus dengan adanya myxl kita bisa lebih gampang untuk beli pulsa n lainnya di era digital ini,1
sangat memudahkan cek data dan transaksi promo lainnya murah,1
keren banget aplikasinya bisa pilih banyak pilihan paketðŸ‘ðŸ‘,1
sudah sangat bagus sinyal nya dan pilihan paket nya pas d kantong,1
semoga tetep bagus pelayanan dan jaringan nya.serta bonus nya juga tambah bnykðŸ˜Š,1
"aplikasinyaa sangat membantuu, ehehhe kl bisa tambahin promo besar besaran lagi yaa",1
sangat membantu XL the best terus kayak gini yahh dan perluas jaringannya di wilayah terpencil terimakasih,1
"Mantep banget cuuyy, paketannya murah murah dan pembelianya mudah bisa memakai apa sajaðŸ˜ðŸ‘",1
"paket lumayan murah,cuma minusnya kadang jaringan suka hilang tiba""",1
"sangat membantu isi,belanja pulsa or kuota paket pun murah banget,pokonya mantap&puas",1
aplikasi yang sangat bagus dengan fitur lengkap memudahkan untuk transaksi,1
sangat membantu jika ingin membeli kuota dengan diskon yang sangat menakjubkan ðŸ‘,1
"Banyak promo menarik, jadinya aku selalu setia pantau. Terimakasih myXL",1
mantap. di kasih discuon gede2an. pas saya lagi bner2 butuh kouta tp duit pas2an,1
paket internet dan paket pulsa sangat lah murah dan jaringan nya pun tidak lemot,1
Aplikasi cukup membantu untuk isi paket data dengan mudah dan murah,1
"Sangat membantu Saya dalam komunikasi , Internet dan lainnya, Terimakasih.",1
Aplikasi ini menurut saya sangat membantu dalam proses transaksi beli/isi pulsa dan kuota xl,1
bagus bisa mempermudah pembelian paket pilihan,1
"Aplikasi yg baik untuk chat, SMS, komunikasi lainnya. Harga pulsa dan paketnya terjangkau dan signal bagus ðŸ‘ðŸ¼ðŸ™ðŸ¼",1
"Murah meriah tp tdk murahan....signal bagus, walaupun kalo lagi mati lampu...signa xl jg ikut ikutan mati..hehehe",1
"Sinyal kuat dan aplikasi mudah di gunakan serta banyak bonusnya,...lengkap daaah,.... Sukcez selalu deeeh XL",1
Cukup baik dan kalau bisa jaringan di permantab lagi di bagian pelosok-pelosok,1
"my XL the best, tetap sediakan paket dengan harga termurah yaa my XL, misalnya kuota 64gb dg hrga di bwah 100rb",1
Sangat bagus untuk membantu mengatasi masalah pembelian paket data dan juga sangat terjangkau,1
"kartu xl ini sangat bermanfaat sekali mantap lah, setiap ada pengisian selalu dapat bonus mantapp",1
"aplikasinya bagus banget, sering dapat promo paket yg super duper murah bangettt",1
jaringan mudah untuk membeli kuota juga lebih mudah dikarenakan ada my XL. banyak promo juga,1
Sangat bagus apalagi dengan discount kuota yang sangat murah semangat terus min,1
banyak bonusss banget terus sinyal sangat mendukung di keadaan cuaca apapun XL semakin baikk murah!!!,1
Sangat banyak membantu. Buka aplikasi nya juga cepat tanpa kuota internet..banyak paket internet murah top.,1
"harga yang sangat terjangkau,dan lebih mudah untuk mengisi ulang paket data",1
Aplikasi ini sangat memuaskan Saya harap di pertahankan dan juga di tingkatkan kualitas baru nya,1
sungguh gampang semuanya ada untuk pilihan Paket data.,1
applikasi yg benar benar membantu Terima kasih mohon di tambah jumlah pinjaman pulsa Rp 25.000..moga kedepannya tambah jaya..,1
Sangat bermanfaat dan banyak promo menarik da menguntungkan.. Thanks XL,1
sangat membantu sekali buat nyari paket yg murah. pokoknya mantap. maju terus ðŸ‘,1
"ini sangat berguna, banyak gratisan juga,,, keren bisa top up game juga pake pulsa lagiii....",1
Aplikasi yang sangat bagus dan membantu saya dalam pembelian paket data dengan harga terjangkau,1
"Sangat bagus aplikasinya, & bisa dapat bonus setiap isi ulang kuota",1
Skarang sudah lebih oke. Tapi masih perlu di stabilkan untuk jaringanya. Terima kasih,1
alhamdulillah.. saya suka bnget mnggunakan apk ini.. apalagi ada bonus yg sngat menarik. semoga sering dikasih pket murah,1
layanan jaringan yg sangat stabil. aku senang dengan fitur-fitur yg menarik,1
"baguss, cek pulsa promo dan lainnya bisa dalam satu aplikasi",1
Sangat bagus dan sangat berguna di tambah ada kejutan dari XL tunggu apalagi download sekarang juga ðŸ‘ðŸ‘,1
Makasih xl kalau aplikasi nya sedang gangguan pasti selalu kasih internet gratiss ðŸ˜ŠðŸ˜Š jadi makin love sama xl gak mau berpaling ðŸ˜ðŸ˜,1
sangat mudah dan gampang sayangnya paketnya terlalu mahal2,1
Aplikasi yang bagus dan berguna dan banyak diskon nya kuotanya murah murah lagi terima kasih untuk myXL,1
aplikasi yang sangat berguna buat saya saat saya tidak ada paket bisa dapet bonus paket dari apk ini,1
aok myXL sangat bagus sekali proses pembayaran nya cepat dan mudah,1
"Jaringan bagus, harga kuota nya sangat menarik, pokoknya mantul ðŸ‘",1
"jaringan lebih muda,banyak gratisanya dan paket terjangkau",1
Alhamdulillah sesuai budget dan sesuai kebutuhan semoga awet,1
"mantap,cara pemakaian nya gampang dan harga paket nya oke lah",1
aplikasinya sangat bagus dan sangat membantu saya suka dengan aplikasi ini sukses teruss PT my XL ðŸ‘,1
sangat bagus memudahkan kit untuk membeli kuota dan sangat murah,1
lebih muda transaksi dan cepat amanah aman terkendali,1
"berguna bgt bisa cek Sisa kuota dan pulsa plus nya lagi harga Kouta nya murah murah masa 11,5gb cuma 10.000? udah langsung download aja buat pengguna kartu xl",1
Trimakasih XL aku pengguna lama sudah 15 thun kurang lebih aku sering dapat bonus kuota setiap isi ulng pulsa,1
apk bagus banget dan untuk pembelian kuota juga gampang,1
pelayanan sederhana tapi jelas menguntungkan,1
Sy sangat tidak rugi menggunakan myxl dan aplikasih nya sangat bagus dan guja menghemat riang semoga myxl tamba bagus terimakasih,1
"Aplikasinya udah bagus tapi tolong tambahkan fitur""lainnya juga",1
"Paket kouta murah, dan pembayaran nya juga ngga ribet",1
"my xl keren, mudah dipahami dan harga paketnya murah dan menarik",1
Tolong di tingkatkan lagi kualitas jangkawan siyalnya. Kalok aplikasi sudah bagus,1
"App the best pokoknya, banyak promo nya dan sangat membantu sekali, terimakasih my xl",1
sangat puas banget karna banyak promo yg murahÂ² dan terjangkau,1
sya suka dengan aplikasi ini sangat membantu untuk mencari kan paketan murah,1
senang bgt dgn apk ini mempermudah segalanya pake aplikasi tidak perlu ke counter lagi,1
"Buka aplikasi XL bisa dapet kuota banyak diskon harga, seneng dehâ˜ºï¸",1
keren myXL dan bagus lebih bagus lagi kalau ada diskon 95%-99% untuk kuota utama,1
"Terima kasih sudah diperbaiki bug yang ada di aplikasi my xl, saya sudah bisa membeli pajet yang saya inginkan",1
"sangat membantu , mempermudah membeli paket dengan harga terjangkau ..",1
"Bagus, mantabb, sangat membantu dan mudah juga cepat, thanks myXL",1
mudah & cepat.. semoga kedepannya XL semakin murah & elegan,1
Assalamualaikum saya ucap terima kasih untuk XL udah menemani saya jadi ojek online XL udah kasih sinyal sangat bagus dan saya ucap kan terima kasih buwat XL sukses selalu XL,1
"Mantappp, sangat membantu dan mempermudah",1
Udah beli masa aktif 45 hari masih aja dalam masa tenggang,1
josssss kalau bisa harga paketnya murah yg penting masa aktifnya panjang,1
Semoga paket selalu murah n stabil signal datanya,1
Ada kurang ada bagus so so lah,1
sangat nyaman dan jaringan bagus...,1
Banyak Promo Murahnya! Terima Kasih myXL!,1
berikan bonus lebih banyak lagi,1
kalau bisa paket nya yg murahÂ² yaa,1
Aplikasi ini sangat membantu kita mengetahui dn mengecek kuota kita,1
sangat mudah untuk mengakses internet,1
Terima kasih my XL. no ini sdh puluhan tahun saya pakai dan ndak mau berhenti pakai. saya senang pakai XL dan sudah mendunia.,1
sngatt mudah pke my xl mantap,1
sangat puas banyak bonus nya,1
cukup bagus ðŸ—¿ Edit: Tolong lain kali untuk pengiriman karru XL nya tolong informasi pengirmannya ditambah lengkap dan dikasih tau paketnya sampe mana. Saya jadi merasa bersalah karena telat menghubungi kurir ðŸ—¿,1
"Hi, saya pengguna XL dari 2018 ingin bertanya, mengapa nomor yang saya gunakan tidak pernah mendapatkan potongan harga untuk pembelian kuota utama:), kadang waktu pembelian kuota saya juga tidak mendapat bonus dari pembelian tersebut, kira kira kenapa?",1
Perbanyak lagi bonusnya setiap pembelian paket internet nya ya,1
sering2 aja kuota free 70%ðŸ¤©ðŸ¤©ðŸ‘ðŸ‘terbaik,1
tolong bonusnya saya tdk dpt. terimakasih,1
mohon di tingkatkan pelayanan dan di perkuat signalnya,1
"Banyak promo menarik, jadinya aku selalu setia pantau. Terimakasih myXL",1
Mantap makin hari makin bosok sinyal nya terus kan y,1
Saya pelajar jangan yang mahal-mahal donk promo nya...,1
semoga makin bnyak promonya dan makin bnyak pula bonusnya di setiap pembelian di myXL good job!!!,1
makasih xl penolong di saaat susah,1
sangat bermanfaat dalam pembelian paket internet,1
Akhirnya sudah sekian lama saya berhasil sampai ke level gord ðŸ˜­ðŸ‘ðŸ» terimakasih XL.,1
bnyk banget diskon nya woyyy,1
"Atikah Nadhira siregar, sangat mudah",1
saya sangat puas karna harga paket datanya murah,1
Terimakasih XL sudah menanggapi dan memperbaiki masalah di dalam di aplikasinyaðŸ™ðŸ»,1
Bagus sekali garaÂ² ada paket bebas puas jadi GK mahalÂ² banget beliin anak kouta,1
Sangat jelas penjelasan terkait pemilihan paket internet,1
"walau kadang tersendat, tapiaplikasinya mudah didigunakan",1
murahin harganya banyakin bonusnya biar konsumen senang,1
"Aplikasinya yg sngat bagus dan ringan ,simple..tolong min knp akhir2 ini kok sinyal xl di area kudus dan jepara sinyalnya jelek pdhl sebelumnya sangat bagus.oo ya min knp harga kuotanya kok sll berubah ubah kadang dpt murah kadang dpt mahal,?",1
Lumayan OK... Syukur ada pengingat saat kuota akan habis ðŸ¤£ðŸ¤£,1
"xl semakin is the best ðŸ‘... tolong di perluas jaringan XL di tempat yang deKaT pegunungan .. seperti di desa dukuh sekti dekat Beteng Portugis... di desa wdusan,, karang sari dan sekitarnya yang terhalang gunung kapur",1
sippp tambah lagi MBnya untuk combo,1
perbanyak lagi promo dan bonus rewadnya,1
tingkatkan lagi kelajuan sinyalnya dan bonus nya mohon d tambah lagi terima kasih,1
Xl sangat membantu tpi sy tdk bisa membuka kalau ada gratis.,1
bgus sangat membantu dan Murmer,1
puas jaringan luas banyak bonus nya,1
"Sumpah, XL ini bagus banget, agent nya bisa bantu semua masalah yang kita alami, mau gimanapun masalahnya pasti tetep dibantu sampe berhasil ðŸ¥º",1
Terus tingkatkan layanan jangkauan dan kompetitif harga paket internet.,1
lebih banyak lagi fitur kuota promonya,1
Sangat informatif dan sangat membantu,1
MANTAP MYXL BINTANG 5 BUAT KAMU,1
tk kasih bintang 3 dulu,1
mantap banyak banget bonus nya,1
saya bangga pakai aplikasi myXL,1
harga murah banget ramah dikantong,1
"sangat membantu karena murah, dan terjangkau",1
sangat membantu sekali untuk membeli pkt,1
Masyaallah sangat membantu sekali terimakasih ya!,1
enak yg dulu sinyal nya lancar dul,1
kartu bagus keren dan mantap,1
Mudah untuk di gunakan.. Tapi tolong diskonnya data ukuran kecil juga jangan yang besar di diskon terus,1
sangat bagus saya beri 5 bintang,1
Ingin dpet paket murah dari xl,1
Terimakasih XL yang selalu ada diskon menarik,1
"Aplikasi paling bermanfaat untuk layanan komunikasi antar keluarga, sahabat seluruh Indonesia, jangkauan luas, cepat dan mudah digunakan.",1
Sangat murah dan lebih hemat,1
"Xl mantap, internet cepat murahðŸ‘",1
Terimakasih buat myxl.sungguh luar biasa,1
ok smpel cara pembayaran ya,1
"Sudah bisa lagi, udah lancar thanks myXL",1
bagus banget kan menyala wi,1
tingkat kan LG banyak bonus,1
keren lah cm agak lelet ajaj,1
Dapat diskon 90% ndak bohong aku...,1
sangat memudahkan cek data dan transaksi promo lainnya murah,1
"Bagus sekali, tanpa perlu cek, buka apk sudah langsung liat daftar datanya",1
semoga pulsa internetnya murah dan lancar,1
Sangat bagus untuk menyimpan pulsa,1
"Aplikasi My XL, Alhamdulillah sangat membantu",1
terima kasih xl paketnya murah,1
Karna saya mendapatkan diskon banyak,1
semoga jaringan xl selalu yang terbaik.mudah jangkauan nya.sukses selalu,1
Sangat memudah kan bagi seseorang yang suka lupa bawa dompet,1
Suka bangeet banyak bonusnya sering dapat hot deal,1
"sejauh ini nyaman sama xl, tapi kuota nambah naik",1
Promo Paket Kuota diseringkan terus,1
banyak promo untuk beli paket data d sini,1
"Murah dan bagus dari pada telkomsel, apknya juga jarang ngebug kaya telkomsel ðŸ˜¹",1
Tambah baik dan banyak diskon terus ya my xl,1
"Baguss sinyal lumayan ok di daerah ku, tolong kasih diskon 90% saya pengguna lamaa jangan terlalu mahalðŸ™",1
"Kenapa untuk profil tidak bisa di kasih gambar foto, tolong diperbaiki lagi , Baru nanti tak kasih bintang 5 Thanks",1
XL uda lumayan gacor jaringan nyaaðŸ—¿ðŸ™,1
aplikasi nya bagus cuman xl sibyalnya lemot d daerah saya,1
aplikasi sangat mendukung harga murah di kantong,1
"Penanganan keluhan sangat lama, pembelian paket sudah terbukti terbayar namun paket tidak kunjung masuk sudah 2 hari. Ralat: Syukurlahkendala sudah terbantu, terimakasih admin dan myxl care.",1
